"replicate","direct","indirect_IC","indirect_PS","total","IC_to_Tol","PS_to_Tol","IB_to_Tol","TC_to_Tol","interaction","interaction_f2","failure"
29,-0.139758415974504,-0.00399130176427852,0.00144189027101459,-0.142307827467768,-0.381152680947063,0.00478438391965473,0.169533666749122,0.077107467136256,0.181789575602872,0.0098716002472775,""
30,-0.105763481701232,-0.0264789134877521,0.0335192363916338,-0.0987231587973499,-0.29915451115095,0.104986842935051,0.199435058851238,-0.0316098920272788,0.00713860430165327,1.44379677288671e-05,""
31,-0.160810045560705,-0.0392736167689331,0.031967911302497,-0.168115751027141,-0.367567803766503,0.0898621686488854,0.202305696378029,0.0548203133553618,-0.0268941757652353,0.000211184950230714,""
32,-0.146366655942953,-0.0402973680380029,0.0126262871699781,-0.174037736810978,-0.420062755141941,0.0346929221675833,0.181941062623676,0.0397311960757879,0.193988378430736,0.0103843342388674,""
33,-0.101441529922708,-0.0299405029482502,0.0252888496491799,-0.106093183221778,-0.36872051714007,0.0798045657352539,0.15664045218585,0.0396580853931281,0.0366776801324825,0.000387982725472679,""
34,-0.129308262720784,0.0267845139792462,0.0250558595188003,-0.0774678892227381,-0.328964035262083,0.0830491887225445,0.17156685374038,-0.0224168683509726,-0.0406652089990176,0.000479015025371682,""
35,-0.101170952950652,-0.0132031354058935,0.0335935300519404,-0.0807805583046047,-0.364863085331773,0.0945788881705486,0.178803753769998,0.00425334071300369,0.0255499471516694,0.000180060291724703,""
36,-0.143503708746032,-0.000239571772537527,0.0296524903157783,-0.114090790202791,-0.347555010919403,0.0856924928442276,0.211908788419297,0.0294931335529349,0.149408037943962,0.0066790013051612,""
37,-0.111413505804874,-0.0452041552704444,0.0143755437568991,-0.142242117318419,-0.326077151963429,0.0478045554273042,0.178248846549079,0.0131288333429504,0.032412514711874,0.000270564111675958,""
38,-0.117937635061284,-0.0303086282525507,0.0249589122006389,-0.123287351113195,-0.413156800119608,0.0767487489347384,0.134366905623584,0.0536853228190259,0.235732334312077,0.016523185175392,""
39,-0.136362009314459,-0.0215461909019155,0.0110032844316684,-0.146904915784706,-0.402744219966649,0.0318758344404567,0.136003357065818,0.0575334960377668,0.0825776253291518,0.00184211712136847,""
40,-0.146422410716137,-0.00152563929025973,0.0125652100736554,-0.135382839932742,-0.381677761258663,0.0347024673922545,0.157229203020653,0.0172319426364236,0.0517349209080178,0.000744725752631244,""
41,-0.125779395997513,0.00839214524025938,0.0201792471348478,-0.0972080036224062,-0.287448680590294,0.0581580958674633,0.249408414873741,-0.00935517203791085,-0.0808287705692875,0.00183679402041726,""
42,-0.144765018947229,-0.0162166628411141,0.0500293428320263,-0.110952338956317,-0.334969908383845,0.157620375020933,0.158267012424678,0.0350515506381184,0.0964731965300768,0.00284977561609858,""
43,-0.158406410479121,-0.0256057802339192,0.0444543180965113,-0.139557872616529,-0.329532776397859,0.134663949650704,0.159812684254638,0.0454691676920212,0.128252415732613,0.00473040760638568,""
44,-0.126959767646345,-0.0496958376809143,0.0205625310527481,-0.156093074274511,-0.333578548416802,0.0622425007622311,0.239647435880561,0.0343869683355683,0.189396625665489,0.00986908807818439,""
45,-0.132007384872127,-0.023382872775366,0.0148554966772371,-0.140534760970256,-0.335126034975861,0.049582667026161,0.232694336509599,0.0159046153942967,0.143124588577125,0.00542133292250183,""
46,-0.130709484635748,-0.0385560041661014,0.0193244041116647,-0.149941084690185,-0.393463788055639,0.0578349208198112,0.182999023068387,0.0575406999828197,0.10834810422394,0.00333702641643972,""
47,-0.1480005709971,-0.0367686478721969,0.0262295528953498,-0.158539665973947,-0.380246376435873,0.0709386451589605,0.166247961874255,0.0618210265923367,0.137841239005651,0.00544695701447976,""
48,-0.195358967116868,-0.00044870678161744,0.035830400696045,-0.15997727320244,-0.294981148163464,0.110078390176182,0.153985161342099,-0.0147803005126114,0.0635399550467126,0.00121685596608039,""
49,-0.121221527510259,-0.0263593758205898,0.0220216333757191,-0.12555926995513,-0.374306106700369,0.0598297859670778,0.144226024096928,0.0122183439815427,-0.0142245252974427,5.50428564099692e-05,""
50,-0.130385685753553,-0.0361199650799171,0.0436650296206587,-0.122840621212811,-0.337679493573273,0.135062320956329,0.162430111694426,-0.00321296892439008,0.084203378334498,0.00204725740521807,""
51,-0.150530480296966,-0.0255309014802377,0.0201511597632889,-0.155910222013915,-0.411087078226127,0.0554644062457302,0.229597531445814,0.0956656207532358,0.0945433353935406,0.00282124361610108,""
52,-0.156329268137818,0.00380976826177823,0.0435264851936133,-0.108993014682427,-0.342121544963976,0.133818537585251,0.169489894362788,0.0200407764622669,-0.00387276906679267,4.46851819755232e-06,""
53,-0.158585381866378,0.00335746499503253,0.0153403879995153,-0.13988752887183,-0.412021492546796,0.0444949433608115,0.154766374060523,0.0201525067016907,0.0806124591785447,0.00198104978689128,""
54,-0.115371166119766,-0.0214539326910136,0.0245452306079336,-0.112279868202846,-0.259092004810175,0.0837457771401266,0.18050918234177,-0.0259551156262995,0.101067738975761,0.00275516931480471,""
55,-0.125751805076919,-0.0162446392444659,0.0215585659265588,-0.120437878394826,-0.3261841189411,0.070400185624197,0.108700111113551,0.0127379831833789,0.198581358128491,0.0107367222725699,""
56,-0.123770069889307,-0.0381804439911265,0.0316054480682343,-0.130345065812199,-0.341574995046077,0.0861785649667722,0.184283721576435,0.0434342692880575,0.0458553684802456,0.000532667494634438,""
57,-0.169276708693655,0.0107869386009536,0.0251515142737269,-0.133338255818974,-0.30339458926411,0.0794210010813453,0.143672442311255,0.00827023257313262,0.00321996477351955,2.95798355759301e-06,""
58,-0.129207143827307,-0.0139350206411024,0.027052372640142,-0.116089791828267,-0.327985502463534,0.0933029313512014,0.216897723944461,-0.0156439253743145,0.103409466275047,0.00320394839071544,""
