"ID","field","original","derived","reason"
46,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
47,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
48,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
49,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
50,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
53,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
54,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
55,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
56,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
59,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
60,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
61,"report_count","1","3","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
62,"report_count","1","3","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
63,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
65,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
68,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
69,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
73,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
74,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
75,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
76,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
77,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
80,"report_count","4","0","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
81,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
83,"report_count","1","3","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
86,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
87,"report_count","3","1","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
89,"report_count","1","3","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
90,"report_count","4","0","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
92,"report_count","4","0","Reconstructed increasing count from raw choices; replaces reverse-direction PS1"
